,0
0,0.515625
1,0.5625
2,0.546875
3,0.578125
4,0.578125
5,0.546875
6,0.5625
7,0.53125
8,0.5625
9,0.5625
10,0.59375
11,0.546875
12,0.625
13,0.546875
